time,Hydro Water Reservoir,Nuclear,Other,Wind Onshore,Fossil Gas,Marine,Solar,Wind Onshore,Solar,Actual Load,Forecasted Load
2020-01-01 00:00:00+01:00,4284.0,7767.0,1128.0,4863.0,,,,4770.25,,14957.0,15056.0
2020-01-01 01:00:00+01:00,3731.0,7767.0,1128.0,4878.0,,,,4891.29,,14860.0,14818.0
2020-01-01 02:00:00+01:00,3663.0,7767.0,1116.0,5109.0,,,,5049.41,,14595.0,14592.0
2020-01-01 03:00:00+01:00,3620.0,7770.0,1103.0,5230.0,,,,5259.82,,14204.0,14408.0
2020-01-01 04:00:00+01:00,3725.0,7768.0,1094.0,5500.0,,,,5511.19,,14263.0,14368.0
2020-01-01 05:00:00+01:00,4028.0,7770.0,1132.0,5795.0,,,,5820.71,,14257.0,14455.0
2020-01-01 06:00:00+01:00,4120.0,7767.0,1182.0,5911.0,,,,6089.18,,14453.0,14607.0
2020-01-01 07:00:00+01:00,4482.0,7762.0,1222.0,6184.0,,,,6246.45,,14888.0,14872.0
2020-01-01 08:00:00+01:00,4693.0,7760.0,1254.0,6414.0,,,,6358.91,,15327.0,15083.0
2020-01-01 09:00:00+01:00,4577.0,7760.0,1254.0,6510.0,,,,6468.46,,15502.0,15306.0
2020-01-01 10:00:00+01:00,4661.0,7765.0,1281.0,6575.0,,,,6554.59,,15972.0,15635.0
2020-01-01 11:00:00+01:00,4580.0,7762.0,1318.0,6572.0,,,,6590.23,,16400.0,15906.0
2020-01-01 12:00:00+01:00,4881.0,7761.0,1335.0,6499.0,,,,6593.36,,16540.0,16048.0
2020-01-01 13:00:00+01:00,4954.0,7762.0,1336.0,6488.0,,,,6559.15,,16734.0,16112.0
2020-01-01 14:00:00+01:00,5229.0,7761.0,1352.0,6419.0,,,,6529.61,,16879.0,16390.0
2020-01-01 15:00:00+01:00,5632.0,7761.0,1348.0,6433.0,,,,6505.51,,17391.0,16881.0
2020-01-01 16:00:00+01:00,6281.0,7759.0,1352.0,6397.0,,,,6504.08,,18043.0,17369.0
2020-01-01 17:00:00+01:00,6264.0,7760.0,1363.0,6389.0,,,,6567.51,,18140.0,17472.0
2020-01-01 18:00:00+01:00,5766.0,7762.0,1362.0,6459.0,,,,6623.6,,17732.0,17287.0
2020-01-01 19:00:00+01:00,5512.0,7762.0,1350.0,6622.0,,,,6695.59,,17425.0,16938.0
2020-01-01 20:00:00+01:00,5160.0,7760.0,1328.0,6659.0,,,,6755.35,,16945.0,16508.0
2020-01-01 21:00:00+01:00,4986.0,7758.0,1298.0,6719.0,,,,6781.09,,16420.0,16007.0
2020-01-01 22:00:00+01:00,4656.0,7758.0,1251.0,6708.0,,,,6773.72,,15636.0,15507.0
2020-01-01 23:00:00+01:00,4294.0,7758.0,1256.0,6662.0,,,,6756.34,,15063.0,14994.0
2020-01-02 00:00:00+01:00,3865.0,7758.0,1195.0,6733.0,,,,6685.19,,14549.0,15080.0
2020-01-02 01:00:00+01:00,3514.0,7758.0,1192.0,6628.0,,,,6617.43,,14297.0,14855.0
2020-01-02 02:00:00+01:00,3524.0,7759.0,1205.0,6487.0,,,,6513.51,,14233.0,14736.0
2020-01-02 03:00:00+01:00,3537.0,7753.0,1220.0,6416.0,,,,6394.19,,14405.0,14761.0
2020-01-02 04:00:00+01:00,3610.0,7753.0,1220.0,6310.0,,,,6322.62,,14555.0,14914.0
2020-01-02 05:00:00+01:00,4471.0,7752.0,1251.0,6242.0,,,,6278.25,,15104.0,15476.0
2020-01-02 06:00:00+01:00,5461.0,7754.0,1299.0,6230.0,,,,6242.15,,16317.0,16711.0
2020-01-02 07:00:00+01:00,6217.0,7756.0,1326.0,6219.0,,,,6272.72,,17047.0,17948.0
2020-01-02 08:00:00+01:00,6684.0,7753.0,1335.0,6217.0,,,,6327.17,,17795.0,18562.0
2020-01-02 09:00:00+01:00,6907.0,7758.0,1366.0,6425.0,,,,6417.78,,18095.0,18630.0
2020-01-02 10:00:00+01:00,6945.0,7756.0,1353.0,6488.0,,,,6487.22,,18313.0,18819.0
2020-01-02 11:00:00+01:00,6916.0,7754.0,1367.0,6532.0,,,,6536.14,,18515.0,18750.0
2020-01-02 12:00:00+01:00,6896.0,7753.0,1377.0,6575.0,,,,6559.52,,18609.0,18642.0
2020-01-02 13:00:00+01:00,6880.0,7754.0,1341.0,6475.0,,,,6533.27,,18632.0,18568.0
2020-01-02 14:00:00+01:00,7145.0,7754.0,1325.0,6452.0,,,,6541.4,,18718.0,18657.0
2020-01-02 15:00:00+01:00,7370.0,7755.0,1314.0,6514.0,,,,6563.04,,19286.0,19041.0
2020-01-02 16:00:00+01:00,7569.0,7756.0,1325.0,6510.0,,,,6597.85,,19513.0,19393.0
2020-01-02 17:00:00+01:00,7451.0,7758.0,1325.0,6538.0,,,,6626.26,,19562.0,19420.0
2020-01-02 18:00:00+01:00,7192.0,7760.0,1311.0,6629.0,,,,6666.93,,19116.0,19085.0
2020-01-02 19:00:00+01:00,6817.0,7760.0,1315.0,6684.0,,,,6728.09,,18563.0,18628.0
2020-01-02 20:00:00+01:00,6252.0,7758.0,1325.0,6756.0,,,,6774.33,,17908.0,18112.0
2020-01-02 21:00:00+01:00,5658.0,7757.0,1306.0,6816.0,,,,6822.87,,17158.0,17437.0
2020-01-02 22:00:00+01:00,5090.0,7758.0,1303.0,6875.0,,,,6867.93,,16359.0,16701.0
2020-01-02 23:00:00+01:00,4095.0,7760.0,1284.0,6983.0,,,,6916.42,,15520.0,15976.0
2020-01-03 00:00:00+01:00,3657.0,7762.0,1246.0,7066.0,,,,7054.62,,15228.0,15144.0
2020-01-03 01:00:00+01:00,3257.0,7763.0,1252.0,7169.0,,,,7128.26,,14901.0,14856.0
2020-01-03 02:00:00+01:00,3113.0,7764.0,1259.0,7239.0,,,,7155.58,,14865.0,14710.0
2020-01-03 03:00:00+01:00,3066.0,7763.0,1270.0,7186.0,,,,7181.09,,14695.0,14692.0
2020-01-03 04:00:00+01:00,3110.0,7763.0,1278.0,7268.0,,,,7201.34,,14772.0,14829.0
2020-01-03 05:00:00+01:00,3976.0,7763.0,1304.0,7264.0,,,,7184.03,,15333.0,15439.0
2020-01-03 06:00:00+01:00,4551.0,7762.0,1327.0,7087.0,,,,7162.34,,16148.0,16830.0
2020-01-03 07:00:00+01:00,5356.0,7764.0,1324.0,7086.0,,,,7117.62,,17433.0,18340.0
2020-01-03 08:00:00+01:00,5938.0,7762.0,1335.0,6953.0,,,,6991.15,,18107.0,18982.0
2020-01-03 09:00:00+01:00,5934.0,7761.0,1327.0,6846.0,,,,6848.01,,18256.0,19013.0
2020-01-03 10:00:00+01:00,6021.0,7765.0,1342.0,6823.0,,,,6831.78,,18527.0,19261.0
2020-01-03 11:00:00+01:00,6211.0,7762.0,1350.0,6837.0,,,,6885.04,,18499.0,19208.0
2020-01-03 12:00:00+01:00,6449.0,7760.0,1349.0,6816.0,,,,6860.5,,18655.0,19160.0
2020-01-03 13:00:00+01:00,6525.0,7761.0,1354.0,6836.0,,,,6679.69,,18778.0,19136.0
2020-01-03 14:00:00+01:00,6728.0,7760.0,1354.0,6707.0,,,,6476.56,,18670.0,19242.0
2020-01-03 15:00:00+01:00,7345.0,7759.0,1353.0,6561.0,,,,6333.16,,19193.0,19707.0
2020-01-03 16:00:00+01:00,7583.0,7760.0,1349.0,6500.0,,,,6333.89,,19743.0,20139.0
2020-01-03 17:00:00+01:00,7560.0,7760.0,1358.0,6465.0,,,,6403.96,,19641.0,20247.0
2020-01-03 18:00:00+01:00,7216.0,7755.0,1356.0,6537.0,,,,6500.24,,19281.0,19960.0
2020-01-03 19:00:00+01:00,6570.0,7757.0,1364.0,6705.0,,,,6645.79,,18835.0,19488.0
2020-01-03 20:00:00+01:00,5986.0,7765.0,1321.0,6893.0,,,,6788.6,,18036.0,18921.0
2020-01-03 21:00:00+01:00,5443.0,7766.0,1304.0,7028.0,,,,6903.6,,17357.0,18165.0
2020-01-03 22:00:00+01:00,4805.0,7766.0,1293.0,7167.0,,,,7024.12,,16612.0,17331.0
2020-01-03 23:00:00+01:00,4350.0,7767.0,1276.0,7309.0,,,,7124.7,,16127.0,16506.0
2020-01-04 00:00:00+01:00,3925.0,7766.0,1283.0,7362.0,,,,7376.35,,15694.0,15656.0
2020-01-04 01:00:00+01:00,3605.0,7772.0,1253.0,7347.0,,,,7376.89,,15479.0,15356.0
2020-01-04 02:00:00+01:00,3478.0,7775.0,1225.0,7231.0,,,,7254.37,,15406.0,15225.0
